№ п/п;№ ЖДЦ;ТИП;Грузоподъёмность ;№ акта;Дата браковки;Причина;Собственник
139;50101559;106;66;283;21.04.2023;ПРИКРЫТИЕ;"АО ""НТС"""
140;57320376;62;60;283;21.04.2023;Тонкий гребень;"АО ""НТС"""
141;51542983;81;65;284;22.04.2023;ПРИКРЫТИЕ;РН-ТРАНС
142;51579548;86;65;284;22.04.2023;ПРИКРЫТИЕ;РН-ТРАНС
143;50929454;90;66;285;22.04.2023;ПРИКРЫТИЕ;"АО ""НТС"""
144;57409880;90;66;285;22.04.2023;ПРИКРЫТИЕ;"АО ""НТС"""
145;50553916;66;68;286;22.04.2023;ПРИКРЫТИЕ;"АО""ННК"""
146;52094794;90;66;286;22.04.2023;ПРИКРЫТИЕ;"АО ""НТС"""
147;51456739;66;65;287;23.04.2023;ПРИКРЫТИЕ;"АО ""НТС"""
148;55551477;106;66;287;23.04.2023;ПРИКРЫТИЕ;"АО ""НТС"""
149;57172132;90;66;287;23.04.2023;Излом центральной балочки;"АО ""НТС"""
150;57631293;66;66;288;23.04.2023;ПРИКРЫТИЕ;"АО ""НТС"""
151;51157865;62;68,5;288;23.04.2023;ПРИКРЫТИЕ;РН-ТРАНС
152;50563352;66;68;289;24.04.2023;ПРИКРЫТИЕ;
153;51721629;72;66;289;24.04.2023;ПРИКРЫТИЕ;"АО ""НТС"""
154;51151710;62;60;289;24.04.2023;АКТ ПОД Д/Т;"АО ""НТС"""
155;73263386;90;66;290;24.04.2023;ПРИКРЫТИЕ;ТРАНСОЙЛ
156;75050211;66;66;290;24.04.2023;ПРИКРЫТИЕ;"АО ""НТС"""
157;51456739;66;65;291;24.04.2023;ПРИКРЫТИЕ;"АО ""НТС"""
158;55551477;106;66;291;24.04.2023;ПРИКРЫТИЕ;"АО ""НТС"""
159;57220931;66;66;291;24.04.2023;завышение фрикционного клина;"АО ""НТС"""
160;53855870;106;66;292;25.04.2023;ПРИКРЫТИЕ;"АО ""НТС"""
161;57205767;92;66;292;25.04.2023;ПРИКРЫТИЕ;"АО ""НТС"""
162;73326381;90;66;293;25.04.2023;ПРИКРЫТИЕ;"АО ""НТС"""
163;75116988;101;68;293;25.04.2023;ПРИКРЫТИЕ;"АО ""НТС"""
164;57234957;106;66;293;25.04.2023;Тонкий гребень;"АО ""НТС"""
165;57205890;92;66;293;25.04.2023;подножка;"АО ""НТС"""
166;53877155;66;66;294;26.04.2023;ПРИКРЫТИЕ;"АО ""НТС"""
167;51888683;106;66;294;26.04.2023;ПРИКРЫТИЕ;"АО ""НТС"""
168;50644715;62;66;295;26.04.2023;ПРИКРЫТИЕ;"АО ""НТС"""
169;51466449;62;66;295;26.04.2023;ПРИКРЫТИЕ;"АО ""НТС"""
170;75116988;101;68;296;27.04.2023;ПРИКРЫТИЕ;"АО ""НТС"""
171;57205890;92;66;296;27.04.2023;ПРИКРЫТИЕ;"АО ""НТС"""
