№ п/п;№ ЖДЦ;ТИП;Грузоподъёмность ;№ акта;Дата браковки;Причина;Собственник
3;57112757;101;68;220;01.04.2022;Брак жд. Предстоят изменения;ТРАНСОЙЛ
4;58275223;90;66;220;01.04.2022;Не обработан под налив;"АО ""НТС"""
5;52026127;66;66;219;02.04.2022;Прикрытие;НефтеТрансСервис
6;50439876;90;66;219;02.04.2022;Прикрытие;"АО ""НТС"""
7;75123729;101;68;219;02.04.2022;Запрет погрузки собственником;"АО ""НТС"""
8;50437326;90;66;219;02.04.2022;Запрет погрузки собственником;"АО ""НТС"""
9;57141814;62;60;219;02.04.2022;До ремонта менее 30 дней;ЭКЗА
10;51721025;62;66;221;02.04.2022;Прикрытие;"АО ""НТС"""
11;57166845;72;66;221;02.04.2022;Прикрытие;"АО ""НТС"""
12;50938042;90;66;222;02.04.2022;Прикрытие;"АО ""НТС"""
13;51792398;86;66;222;02.04.2022;Прикрытие;"АО ""НТС"""
14;50604693;72;66;223;03.04.2022;Прикрытие;"АО ""НТС"""
15;50389899;106;66;223;03.04.2022;Прикрытие;"АО ""НТС"""
16;57346686;66;66;223;03.04.2022;Выщербина обода колеса;"АО ""НТС"""
17;53953154;66;65;224;03.04.2022;Прикрытие;
18;57161366;72;66;224;03.04.2022;Прикрытие;"АО ""НТС"""
19;57379315;92;66;224;03.04.2022;нет продукта;"АО ""НТС"""
20;50098193;66;66;224;03.04.2022;нет продукта;"АО ""НТС"""
21;57335499;62;66;224;03.04.2022;нет продукта;"АО ""НТС"""
22;50659796;62;66;225;03.04.2022;Прикрытие;"АО ""НТС"""
23;75121277;106;66;225;03.04.2022;Прикрытие;"АО ""НТС"""
24;78184582;90;66;226;03.04.2022;Прикрытие;"АО ""НТС"""
25;57212912;66;66;226;03.04.2022;Прикрытие;ТРАНСОЙЛ
26;50080282;90;66;226;03.04.2022;отклонение наливного хобота от горловины;"АО ""НТС"""
27;57141814;62;60;226;03.04.2022;истёк срок службы;ЭКЗА
28;57333536;90;66;227;04.04.2022;Прикрытие;"АО ""НТС"""
29;50608405;72;66;227;04.04.2022;Прикрытие;"АО ""НТС"""
30;51596062;72;66;227;04.04.2022;нет в базе данных;
31;50632843;66;68;228;05.04.2022;Прикрытие;"АО ""НТС"""
32;50439686;90;66;228;05.04.2022;Прикрытие;"АО ""НТС"""
33;53998092;62;66;228;05.04.2022;тонкий гребень;"АО ""НТС"""
34;75106617;101;68;228;05.04.2022;акт под д/т;"АО ""НТС"""
35;50938042;90;66;229;05.04.2022;Прикрытие;"АО ""НТС"""
36;51792398;86;66;229;05.04.2022;Прикрытие;"АО ""НТС"""
37;50525427;72;66;229;05.04.2022;Сверх заявки;"АО ""НТС"""
38;51100097;72;66;229;05.04.2022;Сверх заявки;"АО ""НТС"""
39;70718101;62;66;229;05.04.2022;Не исправен поглащающий аппарат;"АО ""НТС"""
40;54611702;66;66;230;05.04.2022;Прикрытие;НТС
41;51206415;66;68;230;05.04.2022;Прикрытие;ТРАНСОЙЛ
42;73999104;66;66;231;05.04.2022;Прикрытие;"АО ""НТС"""
43;58641705;106;66;231;05.04.2022;Прикрытие;"АО ""НТС"""
44;57155640;90;66;232;06.04.2022;Прикрытие;"АО ""НТС"""
45;57185662;90;66;232;06.04.2022;Прикрытие;ТРАНСОЙЛ
46;57379315;92;66;232;06.04.2022;Трещина запасного рез-ра;"АО ""НТС"""
47;57335499;62;66;232;06.04.2022;Не исправен поглащающий аппарат;"АО ""НТС"""
48;50439579;90;66;232;06.04.2022;акт под БГС;ТРАНСОЙЛ
49;57370967;106;66;233;06.04.2022;Прикрытие;"АО ""НТС"""
50;58641424;106;66;233;06.04.2022;Прикрытие;"АО ""НТС"""
51;51612968;72;66;234;07.04.2022;Прикрытие;ТРАНСОЙЛ
52;57193823;90;66;234;07.04.2022;Прикрытие;ТРАНСОЙЛ
53;50334929;66;66;235;07.04.2022;Прикрытие;"АО ""НТС"""
54;53951950;66;65;235;07.04.2022;Прикрытие;нет соб-ка
55;73024762;90;66;236;07.04.2022;Прикрытие;"АО ""НТС"""
56;75008144;106;66;236;07.04.2022;Прикрытие;"АО ""НТС"""
57;53883278;90;66;236;07.04.2022;менее 30 дней до ремонта;"АО ""НТС"""
58;51792398;86;66;237;07.04.2022;Прикрытие;"АО ""НТС"""
59;50525427;72;66;237;07.04.2022;Прикрытие;"АО ""НТС"""
60;57083768;90;66;238;08.04.2022;Прикрытие;ТРАНСОЙЛ
61;57407405;66;66;238;08.04.2022;Прикрытие;"АО ""НТС"""
62;57141814;62;60;238;08.04.2022;Вывод из аренды;ЭКЗА
63;50439686;90;66;239;08.04.2022;Прикрытие;"АО ""НТС"""
64;53998092;62;66;239;08.04.2022;Прикрытие;"АО ""НТС"""
65;50389493;106;66;240;08.04.2022;Прикрытие;"АО ""НТС"""
66;57384067;106;66;240;08.04.2022;Прикрытие;"АО ""НТС"""
67;55548762;106;66;240;08.04.2022;Острый гребень;ТРАНСОЙЛ
68;70730650;85;65;240;08.04.2022;Острый гребень;"АО ""НТС"""
69;57152035;90;66;241;09.04.2022;Прикрытие;"АО ""НТС"""
70;75101659;101;68;241;09.04.2022;Прикрытие;"АО ""НТС"""
71;73552804;90;66;242;09.04.2022;Прикрытие;"АО ""НТС"""
72;75126110;106;66;242;09.04.2022;Прикрытие;"АО ""НТС"""
73;54695333;90;66;243;09.04.2022;Прикрытие;"АО ""НТС"""
74;58348699;66;66;243;09.04.2022;Прикрытие;ТРАНСОЙЛ
75;70724026;62;66;243;09.04.2022;Несоответствие зазоров скользуна;"АО ""НТС"""
76;50731793;66;68;243;09.04.2022;Неравномерный прокат;"АО ""НТС"""
77;57250490;106;66;244;09.04.2022;Прикрытие;"АО ""НТС"""
78;58649674;106;66;244;09.04.2022;Прикрытие;"АО ""НТС"""
79;51413797;72;66;244;09.04.2022;Тонкий гребень;ТРАНСОЙЛ
80;57236390;106;66;245;10.04.2022;Прикрытие;"АО ""НТС"""
81;74922543;106;66;245;10.04.2022;Прикрытие;"АО ""НТС"""
82;53998498;62;66;245;10.04.2022;Нет спиральной пружины;"АО ""НТС"""
83;73974255;66;66;246;10.04.2022;Занижение фрикционного клина;"АО ""ННК"""
84;75117630;101;68;246;10.04.2022;Износ фрикционного клина;"АО ""НТС"""
85;73910887;106;66;247;10.04.2022;Прикрытие;ТРАНСОЙЛ
86;51769289;66;65;247;10.04.2022;Прикрытие;ТРАНСОЙЛ
87;57386252;66;66;247;10.04.2022;ИЗЛОМ ТРУБКИ;АО НТС
88;75066050;106;66;248;10.04.2022;Прикрытие;"АО ""НТС"""
89;50440304;90;66;248;10.04.2022;Прикрытие;"АО ""НТС"""
90;54098330;66;66;249;11.04.2022;Прикрытие;"АО ""НТС"""
91;51884328;106;66;249;11.04.2022;Прикрытие;ТРАНСОЙЛ
92;73022600;90;66;250;11.04.2022;Прикрытие;ТРАНСОЙЛ
93;73024416;90;66;250;11.04.2022;Прикрытие;ТРАНСОЙЛ
94;51783389;66;66;250;11.04.2022;Тонкий гребень;"АО ""НТС"""
95;57331662;90;66;251;11.04.2022;Прикрытие;ТРАНСОЙЛ
96;54885298;72;66;251;11.04.2022;Прикрытие;ТРАНСОЙЛ
97;54245295;90;66;252;12.04.2022;Прикрытие;АО НТС
98;50768795;66;68;252;12.04.2022;Прикрытие;АО НТС
99;50929199;90;66;252;12.04.2022;НЕТ НАРЯДОВ;АО НТС
100;54699046;90;66;252;12.04.2022;НЕТ НАРЯДОВ;АО НТС
101;55050959;66;66;252;12.04.2022;НЕТ НАРЯДОВ;АО НТС
102;57118606;90;66;252;12.04.2022;НЕТ НАРЯДОВ;АО НТС
103;75051300;101;68;252;12.04.2022;НЕТ НАРЯДОВ;АО НТС
104;57327454;90;66;252;12.04.2022;НЕТ НАРЯДОВ;АО НТС
105;57280653;66;68;252;12.04.2022;НЕТ НАРЯДОВ;ТРАНСОЙЛ
106;51157584;66;68;252;12.04.2022;НЕТ НАРЯДОВ;АО НТС
107;51394203;66;65;252;12.04.2022;НЕТ НАРЯДОВ;АО НТС
108;75126805;106;66;253;12.04.2022;Прикрытие;АО НТС
109;51119477;66;68;253;12.04.2022;Прикрытие;АО НТС
110;50574425;62;60;253;12.04.2022;ВЫГРУЗКА АИ-95;ТРАНСОЙЛ
111;51411619;66;65;253;12.04.2022;Прикрытие;АО НТС
112;75131573;66;66;253;12.04.2022;Прикрытие;АО НТС
113;73969875;66;66;253;12.04.2022;Не обработан под налив;АО НТС
114;51413037;66;65;254;12.04.2022;Прикрытие;АО НТС
115;73236184;90;66;254;12.04.2022;Прикрытие;АО НТС
274;50745835;81;65;254;12.04.2022;нет н/заказов;АО НТС
275;57433153;66;66;254;12.04.2022;Износ фрикционного клина;АО НТС
276;73090409;90;66;254;12.04.2022;прокачка;АО НТС
277;57255069;90;66;255;13.04.2022;Прикрытие;АО НТС
278;73089963;90;66;255;13.04.2022;Прикрытие;АО НТС
279;75130716;66;66;255;13.04.2022;трещина кронштейна запасного резервуара;АО НТС
280;50235977;66;68;255;13.04.2022;оформлена на ст Кряж;ТРАНСОЙЛ
281;54681804;66;66;255;13.04.2022;тонкий гребень;ТРАНСОЙЛ
282;51617769;72;66;255;13.04.2022;не была в ремонте с 23.03.22г.;АО НТС
283;57118606;90;66;256;13.04.2022;Прикрытие;"АО ""НТС"""
284;75051300;101;68;256;13.04.2022;Прикрытие;"АО ""НТС"""
285;73999377;92;66;257;13.04.2022;Прикрытие;"АО ""НТС"""
286;73272080;90;66;257;13.04.2022;Прикрытие;"АО ""НТС"""
287;57329930;90;66;258;14.04.2022;Прикрытие;ТРАНСОЙЛ
288;75008920;106;66;258;14.04.2022;Прикрытие;ТРАНСОЙЛ
289;73238784;90;66;259;14.04.2022;Прикрытие;АО НТС
290;51416592;72;66;259;14.04.2022;Прикрытие;АО НТС
291;57031049;66;66;259;14.04.2022;выщербина ;АО НТС
292;53883492;90;66;260;14.04.2022;Прикрытие;ТРАНСОЙЛ
293;70718077;62;66;260;14.04.2022;Прикрытие;АО НТС
294;51305712;106;66;261;15.04.2022;Прикрытие;ТРАНСОЙЛ
295;73098956;90;66;261;15.04.2022;Прикрытие;"АО ""НТС"""
296;51228120;66;66;261;15.04.2022;Раковина боковой рамы;"АО ""НТС"""
297;50679612;66;68;261;15.04.2022;Раковина боковой рамы;ТРАНСОЙЛ
298;53894994;66;66;262;15.04.2022;Прикрытие;"АО ""НТС"""
299;74911850;66;66;262;15.04.2022;Прикрытие;"АО ""НТС"""
300;56737497;106;66;262;15.04.2022;До ремонта 30 дней;ТРАНСОЙЛ
301;70724026;62;66;262;15.04.2022;Несоответствие зазоров скользуна;"АО ""НТС"""
302;57221251;66;66;263;15.04.2022;Прикрытие;АО НТС
303;75046961;66;66;263;15.04.2022;Прикрытие;АО НТС
304;75129403;92;66;264;16.04.2022;Прикрытие;АО НТС
305;50051101;66;66;264;16.04.2022;Прикрытие;АО НТС
306;54594353;106;66;264;16.04.2022;нет продукта;АО НТС
307;51412401;66;65;264;16.04.2022;нет продукта;АО НТС
308;50077676;90;66;264;16.04.2022;нет продукта;АО НТС
309;50681790;66;68;264;16.04.2022;нет продукта;АО НТС
310;75105320;106;66;264;16.04.2022;нет продукта;ТРАНСОЙЛ
311;54099957;66;66;264;16.04.2022;нет продукта;АО НТС
312;57018608;101;68;264;16.04.2022;нет продукта;АО НТС
313;57414807;106;66;264;16.04.2022;нет продукта;АО НТС
314;51100634;66;68;265;16.04.2022;Прикрытие;"АО ""НТС"""
315;57072647;90;66;265;16.04.2022;Прикрытие;ТРАНСОЙЛ
316;51268613;66;66;265;16.04.2022;Раковина боковой рамы;"АО ""НТС"""
317;51520443;72;66;266;16.04.2022;Прикрытие;"АО ""НТС"""
318;57157877;90;66;266;16.04.2022;Прикрытие;"АО ""НТС"""
319;74923301;101;68;266;16.04.2022;тонкий гребень;"АО ""НТС"""
320;50149376;106;66;267;17.04.2022;Прикрытие;АО НТС
321;51861466;90;66;267;17.04.2022;Прикрытие;ТРАНСОЙЛ
322;51920270;66;68,2;268;17.04.2022;Прикрытие;АО НТС
323;57186603;90;66;268;17.04.2022;Прикрытие;АО НТС
324;57208571;92;66;269;17.04.2022;Прикрытие;"АО ""НТС"""
325;57409484;90;66;269;17.04.2022;Прикрытие;"АО ""НТС"""
326;75015040;66;66;269;17.04.2022;выщербина ;АО НТС
327;56737497;106;66;269;17.04.2022;истек срок ремонта;ТРАНСОЙЛ
328;70724026;62;66;269;17.04.2022;подача в ремонт;АО НТС
329;73070039;90;66;269;17.04.2022;выщербина ;АО НТС
330;57211104;66;66;270;17.04.2022;Прикрытие;"АО ""НТС"""
331;73988487;106;66;270;17.04.2022;Прикрытие;"АО ""НТС"""
332;50119171;66;66;271;18.04.2022;Прикрытие;"АО ""НТС"""
333;57335770;90;66;271;18.04.2022;Прикрытие;"АО ""НТС"""
334;50040757;66;66;272;18.04.2022;Прикрытие;"АО ""НТС"""
335;57207375;92;66;272;18.04.2022;Прикрытие;"АО ""НТС"""
336;54703566;106;66;273;18.04.2022;Прикрытие;"АО ""НТС"""
337;57384760;106;66;273;18.04.2022;Прикрытие;"АО ""НТС"""
338;73002115;90;66;273;18.04.2022;акт годности под бгс;"АО ""НТС"""
339;73302887;90;66;274;19.04.2022;Прикрытие;"АО ""НТС"""
340;52113792;90;66;274;19.04.2022;Прикрытие;"АО ""НТС"""
341;73982084;66;66;275;19.04.2022;Прикрытие;ТРАНСОЙЛ
342;70727201;62;66;275;19.04.2022;Прикрытие;ТРАНСОЙЛ
343;75103960;106;66;275;19.04.2022;тонкий гребень;"АО ""НТС"""
344;50001429;62;60;276;19.04.2022;Прикрытие;ЭКЗА
345;51049088;62;60;276;19.04.2022;Прикрытие;ОРЕНБУРГОИЛ
346;51650356;66;65;277;20.04.2022;Прикрытие;АО НТС
347;51650919;66;65;277;20.04.2022;Прикрытие;АО НТС
348;73972960;66;66;278;20.04.2022;Прикрытие;ТРАНСОЙЛ
349;57195513;90;66;278;20.04.2022;Прикрытие;ТРАНСОЙЛ
350;57960999;66;66;279;21.04.2022;Прикрытие;"АО ""НТС"""
351;57242943;106;66;279;21.04.2022;Прикрытие;"АО ""НТС"""
352;73970105;66;66;279;21.04.2022;трос слетел;"АО ""НТС"""
353;50088731;106;66;280;21.04.2022;Прикрытие;"АО ""НТС"""
354;75106179;106;66;280;21.04.2022;Прикрытие;"АО ""НТС"""
355;51612570;66;66;280;21.04.2022;не обработан под налив;"АО ""НТС"""
356;56737497;106;66;280;21.04.2022;оформлен в ремонт;ТРАНСОЙЛ
357;70724026;62;66;280;21.04.2022;оформлен в ремонт;"АО ""НТС"""
358;54703434;106;66;281;21.04.2022;Прикрытие;"АО ""НТС"""
359;51853745;90;66;281;21.04.2022;Прикрытие;"АО ""НТС"""
360;50425990;90;66;282;21.04.2022;Прикрытие;"АО ""НТС"""
361;50214139;90;66;282;21.04.2022;Прикрытие;"АО ""НТС"""
362;58646597;92;66;283;22.04.2022;Прикрытие;"АО ""НТС"""
363;73979148;66;66;283;22.04.2022;Прикрытие;ТРАНСОЙЛ
364;52029345;66;66;284;22.04.2022;Прикрытие;РН-ТРАНС
365;50572932;62;60;284;22.04.2022;Прикрытие;РН-ТРАНС
366;51258903;66;66;285;23.04.2022;Прикрытие;"АО ""НТС"""
367;55658918;66;66;285;23.04.2022;Прикрытие;"АО ""НТС"""
368;75116103;101;68;285;23.04.2022;Уширение обода колеса;"АО ""НТС"""
369;56901978;62;66;286;23.04.2022;Прикрытие;"АО ""НТС"""
370;75104455;106;66;286;23.04.2022;Прикрытие;"АО ""НТС"""
371;75036657;92;66;287;23.04.2022;Прикрытие;"АО ""НТС"""
372;53979530;72;66;287;23.04.2022;Прикрытие;"АО ""НТС"""
373;50146000;106;66;288;24.04.2022;Прикрытие;ТРАНСОЙЛ
374;55051908;90;66;288;24.04.2022;Прикрытие;ТРАНСОЙЛ
375;50733799;66;68;289;24.04.2022;Прикрытие;АО НТС
376;73910887;106;66;289;24.04.2022;Прикрытие;ТРАНСОЙЛ
377;54712500;106;66;289;24.04.2022;АКТ ГОДНОСТИ ПОД Д/Т;АО НТС
378;51456416;66;65;290;24.04.2022;Прикрытие;"АО ""НТС"""
379;51394203;66;65;290;24.04.2022;Прикрытие;"АО ""НТС"""
380;73098030;90;66;292;25.04.2022;Прикрытие;АО НТС
381;51459071;66;65;292;25.04.2022;Прикрытие;АО НТС
382;54241963;66;66;291;24.04.2022;Прикрытие;"АО ""НТС"""
383;51799229;66;68;291;25.04.2022;Прикрытие;АО НТС
384;53998498;62;66;291;25.04.2022;завышение фрикц.клина;АО НТС
385;75044370;101;68;293;25.04.2022;Прикрытие;"АО ""НТС"""
386;75052951;106;66;293;25.04.2022;Прикрытие;АО НТС
387;54726666;92;66;293;25.04.2022;Выщербина обода колеса;ТРАНСОЙЛ
388;74936287;92;66;293;25.04.2022;Выщербина обода колеса;"АО ""НТС"""
389;55541189;106;66;293;25.04.2022;Выщербина обода колеса;"АО ""НТС"""
390;50440593;62;60;294;26.04.2022;Прикрытие;"АО ""НТС"""
391;50878966;62;60;294;26.04.2022;Прикрытие;"АО ""НТС"""
392;73543183;90;66;294;26.04.2022;Выщербина обода колеса;"АО ""НТС"""
393;51886489;66;66;294;26.04.2022;Выщербина обода колеса;"АО ""НТС"""
394;55548762;106;66;294;26.04.2022;Выщербина обода колеса , ползун;"АО ""НТС"""
395;50728997;66;68;295;26.04.2022;Прикрытие;"АО ""НТС"""
396;75105015;106;66;295;26.04.2022;Прикрытие;"АО ""НТС"""
397;55305239;66;66;296;26.04.2022;Прикрытие;АО НТС
398;55950158;90;66;296;26.04.2022;Прикрытие;АО НТС
399;51815736;106;66;296;26.04.2022;нет в базе данных;?
400;51456416;66;65;297;27.04.2022;Прикрытие;"АО ""НТС"""
401;51394203;66;65;297;27.04.2022;Прикрытие;АО НТС
402;51413797;72;66;297;27.04.2022;тонкий гребень;АО НТС
403;50786250;79;66;298;27.04.2022;Прикрытие;АО НТС
404;73972713;66;66;298;27.04.2022;Прикрытие;ТРАНСОЙЛ
405;50772375;79;66;299;27.04.2022;Прикрытие;"АО ""НТС"""
406;51723245;72;67;299;27.04.2022;Прикрытие;
407;73924243;66;66;300;28.04.2022;Прикрытие;АО НТС
408;50491844;62;66;300;28.04.2022;Прикрытие;АО НТС
409;55054233;106;66;301;28.04.2022;Прикрытие;ТРАНСОЙЛ
410;50075779;90;66;301;28.04.2022;Прикрытие;ТРАНСОЙЛ
411;73269789;90;66;301;28.04.2022;тонкий гребень;"АО ""НТС"""
412;73758088;90;66;301;28.04.2022;тонкий гребень;"АО ""НТС"""
413;73924243;66;66;302;28.04.2022;Прикрытие;"АО ""НТС"""
414;50491844;62;66;302;28.04.2022;Прикрытие;"АО ""НТС"""
415;51555654;72;66;303;29.04.2022;Прикрытие;"АО ""НТС"""
416;53993291;85;65;303;29.04.2022;Прикрытие;
417;73002115;90;66;303;29.04.2022;акт под БГС;"АО ""НТС"""
418;57372583;106;66;303;29.04.2022;не обработан под налив;ТРАНСОЙЛ
419;51839728;92;66;304;29.04.2022;Прикрытие;ТРАНСОЙЛ
420;74922642;106;66;304;29.04.2022;Прикрытие;ТРАНСОЙЛ
421;55054233;106;66;305;29.04.2022;Прикрытие;ТРАНСОЙЛ
422;50075779;90;66;305;29.04.2022;Прикрытие;ТРАНСОЙЛ
423;51100386;66;68;305;29.04.2022;тонкий гребень;ТРАНСОЙЛ
424;73021925;90;66;306;30.04.2022;Прикрытие;"АО ""НТС"""
425;50153451;90;66;306;30.04.2022;Прикрытие;"АО ""НТС"""
426;57415226;106;66;306;30.04.2022;тонкий гребень;"АО ""НТС"""
427;54664396;66;66;306;30.04.2022;Запрет погрузки по АИС ТСД;НефтеТрансСервис
428;55945554;106;66;307;30.04.2022;Прикрытие;"АО ""НТС"""
429;57155640;90;66;307;30.04.2022;Прикрытие;"АО ""НТС"""
430;57408361;106;66;307;30.04.2022;тонкий гребень;"АО ""НТС"""
431;75038018;66;66;307;30.04.2022;тонкий гребень;"АО ""НТС"""
432;58290701;106;66;308;30.04.2022;Прикрытие;"АО ""НТС"""
433;73964306;92;66;308;30.04.2022;Прикрытие;ТРАНСОЙЛ
434;50050806;62;60;308;30.04.2022;Нестандартный продукт. Прокачка;РН-ТРАНС
435;73763880;90;66;309;01.05.2022;Прикрытие;"АО ""НТС"""
436;73905507;106;66;309;01.05.2022;Прикрытие;"АО ""НТС"""
1;73763880;90;66;309;01.05.2022;Прикрытие;"АО ""НТС"""
2;73905507;106;66;309;01.05.2022;Прикрытие;"АО ""НТС"""
3;51456416;66;65;310;01.05.2022;Прикрытие;"АО ""НТС"""
4;51394203;66;65;310;01.05.2022;Прикрытие;"АО ""НТС"""
5;51413797;72;66;310;01.05.2022;тонкий гребень;"АО ""НТС"""
6;51683985;66;65;311;01.05.2022;Прикрытие;ТРАНСОЙЛ
7;51874774;106;66;311;01.05.2022;Прикрытие;"АО ""НТС"""
8;75131227;66;66;312;01.05.2022;Прикрытие;ТРАНСОЙЛ
9;54657796;66;66;312;01.05.2022;Прикрытие;РН ТРАНС
10;73172884;90;66;312;01.05.2022;НЕТ В БАЗЕ;?
11;73064750;90;66;313;02.05.2022;Прикрытие;АО НТС
12;50357458;85;66;313;02.05.2022;Прикрытие;АО НТС
13;73971038;66;66;313;02.05.2022;НЕТ В БАЗЕ;?
14;57222358;66;66;314;02.05.2022;Прикрытие;"АО ""НТС"""
15;51936292;53;60;314;02.05.2022;Прикрытие;"АО ""НТС"""
16;57543894;90;66;314;02.05.2022;Износ клина;"АО ""НТС"""
17;70718010;62;66;315;02.05.2022;Прикрытие;"АО ""НТС"""
18;57370561;106;66;315;02.05.2022;Прикрытие;"АО ""НТС"""
19;50554013;66;68;316;03.05.2022;Прикрытие;"АО ""ННК"""
20;57249823;66;66;316;03.05.2022;Прикрытие;НефтеТрансСервис
21;54594007;106;66;317;03.05.2022;Прикрытие;"АО ""НТС"""
22;51846988;90;66;317;03.05.2022;Прикрытие;"АО ""НТС"""
23;73532681;90;66;318;03.05.2022;Прикрытие;ТРАНСОЙЛ
24;58303272;66;66;318;03.05.2022;Прикрытие;"АО ""НТС"""
25;57752297;72;66;319;03.05.2022;Прикрытие;"АО ""НТС"""
26;74908062;106;66;319;03.05.2022;Прикрытие;"АО ""НТС"""
27;58275223;90;66;320;04.05.2022;Прикрытие;"АО ""НТС"""
28;73580086;90;66;320;04.05.2022;Прикрытие;"АО ""НТС"""
29;57061731;106;66;321;04.05.2022;Прикрытие;АО НТС
30;73999039;106;66;321;04.05.2022;Прикрытие;АО НТС
31;50567791;62;60;321;04.05.2022;РАСХОЖДНИ ТАРЫ;АО НТС
32;55054308;106;66;321;04.05.2022;по  ТРОСу;АО НТС
33;57639296;66;66;322;04.05.2022;Прикрытие;НефтеТрансСервис
34;73741548;62;60;322;04.05.2022;Прикрытие;
35;51699981;66;66;322;04.05.2022;нет акта годн.,нет в базе;
36;52137098;106;66;322;04.05.2022;тонкий гребень;АО НТС
37;50163849;66;66;323;05.05.2022;Прикрытие;АО НТС
38;50499425;106;66;323;05.05.2022;Прикрытие;АО НТС
39;54712138;106;66;323;05.05.2022;тонкий гребень;АО НТС
40;57017923;66;66;323;05.05.2022;тонкий гребень;АО НТС
41;73909228;92;66;324;05.05.2022;Прикрытие;"АО ""НТС"""
42;57041444;66;66;324;05.05.2022;Прикрытие;"АО ""НТС"""
43;53998498;62;66;325;06.05.2022;Прикрытие;"АО ""НТС"""
44;51833259;66;66;325;06.05.2022;Прикрытие;"АО ""НТС"""
45;73088486;90;66;326;06.05.2022;Прикрытие;"АО ""НТС"""
46;73989964;106;66;326;06.05.2022;Прикрытие;"АО ""НТС"""
47;54791504;66;66;326;06.05.2022;Выбита модернизация буксы;"АО ""НТС"""
48;73917726;66;66;327;06.05.2022;Прикрытие;"АО ""ННК"""
49;50572726;62;60;327;06.05.2022;Прикрытие;ЭКЗА
50;73984726;66;66;327;06.05.2022;тонкий гребень;"АО ""НТС"""
51;57287567;66;66;328;07.05.2022;Прикрытие;НефтеТрансСервис
52;53993291;85;64,9;328;07.05.2022;Прикрытие;нет соб-ка
53;51632586;66;66;328;07.05.2022;оформлена на ст Ершов;"АО ""НТС"""
54;51158673;66;68;329;07.05.2022;Прикрытие;РН ТРАНС
55;51158541;66;68;329;07.05.2022;Прикрытие;РН ТРАНС
56;50939685;106;66;329;07.05.2022;тонкий гребень;"АО ""НТС"""
57;52110897;90;66;330;07.05.2022;Прикрытие;"АО ""НТС"""
58;75058925;66;66;330;07.05.2022;Прикрытие;"АО ""НТС"""
59;73980872;66;66;330;07.05.2022;тонкий гребень;"АО ""НТС"""
60;75115758;101;68;331;08.05.2022;Прикрытие;"АО ""НТС"""
61;54246418;106;66;331;08.05.2022;Прикрытие;"АО ""НТС"""
62;74983537;106;66;332;08.05.2022;Прикрытие;"АО ""НТС"""
63;73022410;90;66;332;08.05.2022;Прикрытие;"АО ""НТС"""
64;58293978;106;66;333;08.05.2022;Прикрытие;"АО ""НТС"""
65;73025306;90;66;333;08.05.2022;Прикрытие;"АО ""НТС"""
66;57403826;62;66;333;08.05.2022;Запрет погрузки АИС ТСД (подача в ремонт);АНХК (РН-Транс)
67;50623685;66;68;333;08.05.2022;Запрет погрузки АИС ТСД (подача в ремонт);РН ТРАНС
68;57005217;101;68;333;08.05.2022;акт под ДТ;"АО ""НТС"""
69;75058677;66;66;334;09.05.2022;Прикрытие;нет в базе
70;50757491;66;68;334;09.05.2022;Прикрытие;"АО ""НТС"""
71;75117143;101;68;334;09.05.2022;тонкий гребень;"АО ""НТС"""
72;70724042;62;66;334;09.05.2022;тонкий гребень;"АО ""НТС"""
73;52110897;90;66;335;09.05.2022;Прикрытие;АО НТС
74;75058925;66;66;335;09.05.2022;Прикрытие;АО НТС
75;50582303;62;60;335;09.05.2022;истекает срок деп.ремонта;экза
76;74918715;66;68;335;09.05.2022;истекает срок деп.ремонта;АО НТС
77;57192387;106;66;335;09.05.2022;нет соб-ка;нет в базе
78;57088882;66;66;336;09.05.2022;Прикрытие;НефтеТрансСервис
79;51034072;62;60;336;09.05.2022;Прикрытие;Оренбургнефть
80;73967523;106;66;336;09.05.2022;ПОДНОЖКА;АО НТС
81;77257616;90;66;337;10.05.2022;Прикрытие;
82;77254829;90;66;337;10.05.2022;Прикрытие;
83;75129775;92;66;337;10.05.2022;тонкий гребень;АО НТС
84;57171886;90;66;337;10.05.2022;тонкий гребень;АО НТС
85;51633238;66;66;337;10.05.2022;НЕТ В БАЗЕ;
86;57236317;106;66;337;10.05.2022;НЕТ В БАЗЕ;
87;54771035;66;66;338;10.05.2022;Прикрытие;РН ТРАНС
88;52025400;66;66;338;10.05.2022;Прикрытие;РН ТРАНС
89;77257616;90;66;339;10.05.2022;Прикрытие;
90;77254829;90;66;339;10.05.2022;Прикрытие;
91;57083784;90;66;340;11.05.2022;Прикрытие;АО НТС
92;50630250;62;67;340;11.05.2022;Прикрытие;РН ТРАНС
93;75102285;92;66;340;11.05.2022;тонкий гребень;АО НТС
94;54772405;66;66;340;11.05.2022;тонкий гребень;НефтеТрансСервис
95;52110897;90;66;341;11.05.2022;Прикрытие;"АО ""НТС"""
96;75058925;66;66;341;11.05.2022;Прикрытие;"АО ""НТС"""
97;50582303;62;60;341;11.05.2022;в ремонт;ЭКЗА
98;74918715;66;68;341;11.05.2022;в ремонт;нтс
99;57064586;106;66;341;11.05.2022;излом спир.пружины;нтс
100;57006090;62;67;342;11.05.2022;Прикрытие;"АО ""НТС"""
101;57344921;66;66;342;11.05.2022;Прикрытие;"АО ""НТС"""
102;73771784;90;66;342;11.05.2022;тонкий гребень;"АО ""НТС"""
